Index,Année,Région,insee_region,Production hydraulique renouvelable (GWh),Production bioénergie renouvelable (GWh),Production éolienne renouvelable (GWh),Production solaire renouvelable (GWh)
4,2014,Provence-Alpes-Côte d'Azur,93,11053.9,380.8,105.9,1014.8
5,2014,Grand-Est,44,7882.0,434.2,3975.7,458.3
6,2014,Corse,94,493.3,11.4,31.3,123.6
7,2014,Nouvelle-Aquitaine,75,4112.3,1086.8,820.4,1171.7
8,2014,Auvergne-Rhône-Alpes,84,25942.2,536.1,764.4,636.3
9,2014,Centre-Val de Loire,24,138.6,285.1,1626.3,198.0
10,2014,Ile-de-France,11,52.2,818.5,37.9,66.0
11,2014,Normandie,28,155.6,301.6,1046.5,112.5
12,2014,Pays de la Loire,52,23.6,281.9,1072.3,368.4
0,2015,Pays de la Loire,52,18.4,277.5,1223.4,421.8
1,2015,Bourgogne-Franche-Comté,27,727.6,122.4,695.4,219.6
2,2015,Corse,94,347.4,10.2,24.2,147.6
3,2015,Grand-Est,44,7176.9,512.4,5165.7,491.7
4,2015,Auvergne-Rhône-Alpes,84,23723.6,591.8,799.0,784.3
5,2015,Ile-de-France,11,55.2,709.0,52.7,71.9
6,2015,Hauts-de-France,32,13.2,713.9,4966.2,126.0
7,2015,Bretagne,53,531.9,229.9,1651.0,187.3
8,2015,Occitanie,76,9424.0,520.9,2318.0,1603.6
9,2015,Normandie,28,117.0,313.9,1259.7,121.6
10,2015,Provence-Alpes-Côte d'Azur,93,8994.1,435.0,105.4,1206.3
11,2015,Nouvelle-Aquitaine,75,3082.2,1298.7,924.0,1817.0
12,2015,Centre-Val de Loire,24,99.2,322.0,1927.6,234.3
0,2016,Grand-Est,44,8182.5,529.1,4922.9,468.3
1,2016,Normandie,28,130.4,304.4,1186.3,126.6
2,2016,Pays de la Loire,52,18.7,278.0,1261.1,443.5
3,2016,Corse,94,471.3,9.2,32.9,156.6
4,2016,Hauts-de-France,32,15.5,749.5,4857.7,128.7
5,2016,Ile-de-France,11,58.0,795.3,60.9,70.4
6,2016,Nouvelle-Aquitaine,75,3940.4,1341.5,920.1,2219.7
7,2016,Occitanie,76,9949.3,560.3,2641.0,1834.0
8,2016,Bourgogne-Franche-Comté,27,936.6,126.2,778.6,216.6
9,2016,Bretagne,53,547.4,244.8,1477.2,197.9
10,2016,Centre-Val de Loire,24,128.2,325.1,1622.9,243.5
11,2016,Provence-Alpes-Côte d'Azur,93,9130.5,561.6,108.6,1354.8
12,2016,Auvergne-Rhône-Alpes,84,25719.7,678.6,853.7,810.6
